Country.Name,n_years,mean,var,std
China,27,6251.696407407408,8259360.65047363,2873.91034141179
India,27,1396.8875185185186,370256.07081349,608.486705535536
United States,27,5648.154074074074,98927.23778630175,314.52700644984645
