2025-12-13 18:18:17 | DEBUG | PiplineQ.py:161 | [Saver] Saving cv_edges image for idx=3, shape=(675, 900)
2025-12-13 18:18:17 | INFO | PiplineQ.py:167 | 💾 Saved: 3_Siberian_cv_edges.png
2025-12-13 18:18:17 | DEBUG | PiplineQ.py:161 | [Saver] Saving my_edges image for idx=3, shape=(675, 900)
2025-12-13 18:18:17 | INFO | PiplineQ.py:167 | 💾 Saved: 3_Siberian_my_edges.png
2025-12-13 18:18:17 | DEBUG | PiplineQ.py:36 | [ConvolutionWorker] Finished processing idx=2
2025-12-13 18:18:17 | DEBUG | PiplineQ.py:125 | [Processor 0] Queue size before get: 1
2025-12-13 18:18:17 | DEBUG | PiplineQ.py:52 | [PipelineState] Processor finished. Remaining: 1
2025-12-13 18:18:17 | INFO | PiplineQ.py:144 | ✅ [Processor 0] Processed 1 images
2025-12-13 18:18:17 | DEBUG | PiplineQ.py:161 | [Saver] Saving original image for idx=2, shape=(937, 750, 3)
2025-12-13 18:18:17 | INFO | PiplineQ.py:167 | 💾 Saved: 2_Siberian_original.png
2025-12-13 18:18:17 | DEBUG | PiplineQ.py:161 | [Saver] Saving cv_edges image for idx=2, shape=(937, 750)
2025-12-13 18:18:17 | INFO | PiplineQ.py:167 | 💾 Saved: 2_Siberian_cv_edges.png
2025-12-13 18:18:17 | DEBUG | PiplineQ.py:161 | [Saver] Saving my_edges image for idx=2, shape=(937, 750)
2025-12-13 18:18:17 | INFO | PiplineQ.py:167 | 💾 Saved: 2_Siberian_my_edges.png
2025-12-13 18:18:46 | DEBUG | PiplineQ.py:36 | [ConvolutionWorker] Finished processing idx=1
2025-12-13 18:18:46 | DEBUG | PiplineQ.py:125 | [Processor 1] Queue size before get: 0
2025-12-13 18:18:46 | DEBUG | PiplineQ.py:52 | [PipelineState] Processor finished. Remaining: 0
2025-12-13 18:18:46 | INFO | PiplineQ.py:144 | ✅ [Processor 1] Processed 1 images
2025-12-13 18:18:46 | DEBUG | PiplineQ.py:161 | [Saver] Saving original image for idx=1, shape=(1587, 2348, 3)
2025-12-13 18:18:46 | INFO | PiplineQ.py:171 | ✅ [Saver] Saved 0 images total
2025-12-13 18:18:46 | DEBUG | PiplineQ.py:204 | [Pipeline] Convolution results: [1, 1, 1, 0, 0, 0]
2025-12-13 18:18:46 | INFO | PiplineQ.py:171 | ✅ [Saver] Saved 3 images total
2025-12-13 18:18:46 | INFO | PiplineQ.py:171 | ✅ [Saver] Saved 3 images total
2025-12-13 18:18:46 | INFO | PiplineQ.py:167 | 💾 Saved: 1_Oriental_original.png
2025-12-13 18:18:46 | DEBUG | PiplineQ.py:161 | [Saver] Saving cv_edges image for idx=1, shape=(1587, 2348)
2025-12-13 18:18:46 | INFO | PiplineQ.py:167 | 💾 Saved: 1_Oriental_cv_edges.png
2025-12-13 18:18:46 | DEBUG | PiplineQ.py:161 | [Saver] Saving my_edges image for idx=1, shape=(1587, 2348)
2025-12-13 18:18:46 | INFO | PiplineQ.py:167 | 💾 Saved: 1_Oriental_my_edges.png
2025-12-13 18:18:46 | INFO | PiplineQ.py:171 | ✅ [Saver] Saved 3 images total
2025-12-13 18:18:46 | DEBUG | PiplineQ.py:209 | [Pipeline] Save results: [3, 3, 3, 0]
2025-12-13 18:18:46 | INFO | PiplineQ.py:217 | ============================================================
2025-12-13 18:18:46 | INFO | PiplineQ.py:218 | 📊 PIPELINE STATISTICS:
2025-12-13 18:18:46 | INFO | PiplineQ.py:219 |    Total downloaded: 3
2025-12-13 18:18:46 | INFO | PiplineQ.py:220 |    Total processed: 3
2025-12-13 18:18:46 | INFO | PiplineQ.py:221 |    Total saved: [3, 3, 3, 0]
2025-12-13 18:18:46 | INFO | PiplineQ.py:222 |    Total time: 40.83 seconds
2025-12-13 18:18:46 | INFO | PiplineQ.py:223 | 🎉 Pipeline completed successfully!
