2025-12-21 21:49:37 | DEBUG | proactor_events.py:629 | Using proactor: IocpProactor
2025-12-21 21:49:49 | INFO | PiplineQ.py:167 | 💾 Saved: 1_Cornish_Rex_original.png
2025-12-21 21:49:49 | DEBUG | PiplineQ.py:161 | [Saver] Saving cv_edges image for idx=1, shape=(768, 1024)
2025-12-21 21:49:49 | INFO | PiplineQ.py:167 | 💾 Saved: 1_Cornish_Rex_cv_edges.png
2025-12-21 21:49:49 | DEBUG | PiplineQ.py:161 | [Saver] Saving my_edges image for idx=1, shape=(768, 1024)
2025-12-21 21:49:49 | INFO | PiplineQ.py:167 | 💾 Saved: 1_Cornish_Rex_my_edges.png
2025-12-21 21:49:50 | DEBUG | PiplineQ.py:36 | [ConvolutionWorker] Finished processing idx=3
2025-12-21 21:49:50 | DEBUG | PiplineQ.py:125 | [Processor 1] Queue size before get: 1
2025-12-21 21:49:50 | DEBUG | PiplineQ.py:52 | [PipelineState] Processor finished. Remaining: 1
2025-12-21 21:49:50 | INFO | PiplineQ.py:144 | ✅ [Processor 1] Processed 1 images
2025-12-21 21:49:50 | DEBUG | PiplineQ.py:161 | [Saver] Saving original image for idx=3, shape=(650, 1250, 3)
2025-12-21 21:49:50 | INFO | PiplineQ.py:167 | 💾 Saved: 3_Munchkin_original.png
2025-12-21 21:49:50 | DEBUG | PiplineQ.py:161 | [Saver] Saving cv_edges image for idx=3, shape=(650, 1250)
2025-12-21 21:49:50 | INFO | PiplineQ.py:167 | 💾 Saved: 3_Munchkin_cv_edges.png
2025-12-21 21:49:50 | DEBUG | PiplineQ.py:161 | [Saver] Saving my_edges image for idx=3, shape=(650, 1250)
2025-12-21 21:49:50 | INFO | PiplineQ.py:167 | 💾 Saved: 3_Munchkin_my_edges.png
2025-12-21 21:49:51 | DEBUG | PiplineQ.py:36 | [ConvolutionWorker] Finished processing idx=2
2025-12-21 21:49:51 | DEBUG | PiplineQ.py:125 | [Processor 2] Queue size before get: 0
2025-12-21 21:49:51 | DEBUG | PiplineQ.py:52 | [PipelineState] Processor finished. Remaining: 0
2025-12-21 21:49:51 | INFO | PiplineQ.py:144 | ✅ [Processor 2] Processed 1 images
2025-12-21 21:49:51 | DEBUG | PiplineQ.py:161 | [Saver] Saving original image for idx=2, shape=(950, 950, 3)
2025-12-21 21:49:51 | INFO | PiplineQ.py:171 | ✅ [Saver] Saved 0 images total
2025-12-21 21:49:51 | DEBUG | PiplineQ.py:204 | [Pipeline] Convolution results: [1, 1, 1, 0, 0, 0]
2025-12-21 21:49:51 | INFO | PiplineQ.py:171 | ✅ [Saver] Saved 3 images total
2025-12-21 21:49:51 | INFO | PiplineQ.py:171 | ✅ [Saver] Saved 3 images total
2025-12-21 21:49:51 | INFO | PiplineQ.py:167 | 💾 Saved: 2_Munchkin_original.png
2025-12-21 21:49:51 | DEBUG | PiplineQ.py:161 | [Saver] Saving cv_edges image for idx=2, shape=(950, 950)
2025-12-21 21:49:51 | INFO | PiplineQ.py:167 | 💾 Saved: 2_Munchkin_cv_edges.png
2025-12-21 21:49:51 | DEBUG | PiplineQ.py:161 | [Saver] Saving my_edges image for idx=2, shape=(950, 950)
2025-12-21 21:49:51 | INFO | PiplineQ.py:167 | 💾 Saved: 2_Munchkin_my_edges.png
2025-12-21 21:49:51 | INFO | PiplineQ.py:171 | ✅ [Saver] Saved 3 images total
2025-12-21 21:49:51 | DEBUG | PiplineQ.py:209 | [Pipeline] Save results: [3, 3, 3, 0]
2025-12-21 21:49:52 | INFO | PiplineQ.py:217 | ============================================================
2025-12-21 21:49:52 | INFO | PiplineQ.py:218 | 📊 PIPELINE STATISTICS:
2025-12-21 21:49:52 | INFO | PiplineQ.py:219 |    Total downloaded: 3
2025-12-21 21:49:52 | INFO | PiplineQ.py:220 |    Total processed: 3
2025-12-21 21:49:52 | INFO | PiplineQ.py:221 |    Total saved: [3, 3, 3, 0]
2025-12-21 21:49:52 | INFO | PiplineQ.py:222 |    Total time: 14.13 seconds
2025-12-21 21:49:52 | INFO | PiplineQ.py:223 | 🎉 Pipeline completed successfully!
